"participant_id","object","surpAcc","memory_surp_responses","memory_surp_rt","keep_surp_memory_trial_based_on_rt","surp_block_num","exclude_block","number_of_surp_resp_items_used","num_blocks_excluded"
"260036","img/object_images/hair_brush02.jpg","1","s","1.83705940001528",1,1,0,2,0
"260036","img/object_images/WoodBox01.jpg","1","k","1.4030493000173",1,1,0,2,0
"260036","img/object_images/knife02.jpg","1","s","1.41210759998648",1,1,0,2,0
"260036","img/object_images/sink01.jpg","1","s","1.4704430999991",1,1,0,2,0
"260036","img/object_images/matches02.jpg","1","s","0.946859700023197",1,1,0,2,0
"260036","img/object_images/bow_tie03.jpg","0","k","1.53723089999403",1,1,0,2,0
"260036","img/object_images/vase01.jpg","1","s","0.979293199983658",1,1,0,2,0
"260036","img/object_images/pitcher02.jpg","1","k","1.00926900000195",1,1,0,2,0
"260036","img/object_images/Traffic Sign 01.jpg","1","s","1.63416389998747",1,1,0,2,0
"260036","img/object_images/microphone03.jpg","0","k","1.08726999998908",1,1,0,2,0
"260036","img/object_images/knife04.jpg","0","s","1.26791319999029",1,1,0,2,0
"260036","img/object_images/toaster01.jpg","0","s","0.940738100005547",1,1,0,2,0
"260036","img/object_images/ToolBag01.jpg","1","k","1.02517820001231",1,1,0,2,0
"260036","img/object_images/perfume02.jpg","1","k","1.23116269998718",1,1,0,2,0
"260036","img/object_images/key02.jpg","1","k","1.12747659999877",1,1,0,2,0
"260036","img/object_images/scarf01.jpg","1","s","0.954545099986717",1,1,0,2,0
"260036","img/object_images/guitar02.jpg","1","k","1.71064879998448",1,1,0,2,0
"260036","img/object_images/Vest02.jpg","0","s","1.44892490000348",1,1,0,2,0
"260036","img/object_images/brief_case02.jpg","1","s","2.21204039998702",1,1,0,2,0
"260036","img/object_images/accardion01.jpg","0","s","1.57180089998292",1,1,0,2,0
"260036","img/object_images/cellphone03.jpg","1","k","1.58477730001323",1,1,0,2,0
"260036","img/object_images/MetalWire01.jpg","1","k","1.26160970001365",1,1,0,2,0
"260036","img/object_images/tv01.jpg","0","s","1.06698130001314",1,1,0,2,0
"260036","img/object_images/mask01.jpg","1","k","0.8325130000012",1,1,0,2,0
"260036","img/object_images/bottle05.jpg","0","k","3.33940399999847",1,1,0,2,0
"260036","img/object_images/purse04.jpg","1","k","0.91967149998527",1,1,0,2,0
"260036","img/object_images/bow_tie01.jpg","1","k","0.881025799986674",1,1,0,2,0
"260036","img/object_images/razor01.jpg","1","s","0.868414700002177",1,1,0,2,0
"260036","img/object_images/fan01.jpg","1","s","1.03608199997689",1,1,0,2,0
"260036","img/object_images/Thermometer01.jpg","1","s","1.55561280000256",1,1,0,2,0
"260036","img/object_images/Lint_Roller02.jpg","1","s","1.79530310002156",1,1,0,2,0
"260036","img/object_images/bird_house02.jpg","0","k","0.949658199999249",1,1,0,2,0
"260036","img/object_images/flashlight03.jpg","0","s","0.95849420002196",1,1,0,2,0
"260036","img/object_images/book03.jpg","1","s","1.18871849999414",1,1,0,2,0
"260036","img/object_images/pot01.jpg","1","s","1.19812470002216",1,1,0,2,0
"260036","img/object_images/dress03.jpg","1","s","1.03673649998382",1,1,0,2,0
"260036","img/object_images/ornament01.jpg","1","k","2.03175180000835",1,1,0,2,0
"260036","img/object_images/jewel04.jpg","1","k","1.05776989998412",1,1,0,2,0
"260036","img/object_images/crown02.jpg","0","s","1.08557429999928",1,1,0,2,0
"260036","img/object_images/clip02.jpg","1","s","0.975903599988669",1,1,0,2,0
"260036","img/object_images/knit05.jpg","1","s","0.655676399997901",1,1,0,2,0
"260036","img/object_images/video_game02.jpg","1","k","0.991077799990308",1,1,0,2,0
"260036","img/object_images/boat04.jpg","0","k","1.6429361999908",1,1,0,2,0
"260036","img/object_images/ruler02.jpg","1","k","1.60239829999045",1,1,0,2,0
"260036","img/object_images/pen03.jpg","0","s","1.33986370000639",1,1,0,2,0
"260036","img/object_images/knife01.jpg","1","s","0.891663399990648",1,1,0,2,0
"260036","img/object_images/broom01.jpg","1","k","1.44566199998371",1,1,0,2,0
"260036","img/object_images/shower_head01.jpg","0","s","1.27969670001767",1,1,0,2,0
"260036","img/object_images/mail_box02.jpg","0","k","1.13235759999952",1,2,0,2,0
"260036","img/object_images/ball02.jpg","0","k","0.78727900001104",1,2,0,2,0
"260036","img/object_images/wallet02.jpg","1","s","0.54903490000288",1,2,0,2,0
"260036","img/object_images/crutches02.jpg","0","k","0.905272899981355",1,2,0,2,0
"260036","img/object_images/microscope01.jpg","0","s","0.967718700005207",1,2,0,2,0
"260036","img/object_images/ice_tray03.jpg","1","s","0.961799500015331",1,2,0,2,0
"260036","img/object_images/vase02.jpg","1","s","0.752696600015042",1,2,0,2,0
"260036","img/object_images/airfryer01.jpg","1","k","0.930240600020625",1,2,0,2,0
"260036","img/object_images/soap01.jpg","0","k","0.91811240001698",1,2,0,2,0
"260036","img/object_images/glasses03.jpg","1","k","0.943755000014789",1,2,0,2,0
"260036","img/object_images/WitchHat02.jpg","0","s","0.910939299996244",1,2,0,2,0
"260036","img/object_images/slinky_toy01.jpg","1","k","0.946488599991426",1,2,0,2,0
"260036","img/object_images/hammer03.jpg","0","s","0.808564200007822",1,2,0,2,0
"260036","img/object_images/lemon_squeezer02.jpg","0","k","0.709597099979874",1,2,0,2,0
"260036","img/object_images/ironing_table01.jpg","1","s","1.02661999998963",1,2,0,2,0
"260036","img/object_images/board01.jpg","1","k","1.1571901999996",1,2,0,2,0
"260036","img/object_images/tie02.jpg","1","s","1.37081629998283",1,2,0,2,0
"260036","img/object_images/trash_can05.jpg","0","s","0.868377899983898",1,2,0,2,0
"260036","img/object_images/ear_bud01.jpg","0","k","0.896823399991263",1,2,0,2,0
"260036","img/object_images/gauze01.jpg","1","s","1.07752069999697",1,2,0,2,0
"260036","img/object_images/tool07.jpg","1","k","0.732185100001516",1,2,0,2,0
"260036","img/object_images/tool11.jpg","1","s","1.00792750000255",1,2,0,2,0
"260036","img/object_images/knit01.jpg","1","k","0.8845381999854",1,2,0,2,0
"260036","img/object_images/clip04.jpg","1","s","3.61613350000698",1,2,0,2,0
"260036","img/object_images/note_book02.jpg","0","k","0.711194399977103",1,2,0,2,0
"260036","img/object_images/acoustic_capo01.jpg","1","k","1.15775620000204",1,2,0,2,0
"260036","img/object_images/curtain02.jpg","1","s","0.839753899985226",1,2,0,2,0
"260036","img/object_images/pitcher01.jpg","0","k","0.777464000013424",1,2,0,2,0
"260036","img/object_images/helmet01.jpg","1","s","2.69304939999711",1,2,0,2,0
