"participant_id","current_trial_object","pre_trial_object","post_trial_object","current_trial_accuracy","pre_trial_accuracy","post_trial_accuracy","current_trial_congruency","pre_trial_congruency","post_trial_congruency","current_trial_rt","pre_trial_rt","post_trial_rt","current_trial_responded","pre_trial_responded","post_trial_responded","current_trial_legitResponse","pre_trial_legitResponse","post_trial_legitResponse","current_trial_resp_nums","pre_trial_resp_nums","post_trial_resp_nums"
"260037","img/object_images/pillows01.jpg",NA,"img/object_images/chair05.jpg","1",NA,"0","1",NA,"0","0.389202299993485",NA,"0.575920299976133","1",NA,"1","1",NA,"1","1",NA,"1"
"260037","img/object_images/chair05.jpg","img/object_images/pillows01.jpg","img/object_images/knife04.jpg","0","1","1","0","1","1","0.575920299976133","0.389202299993485","0.413286199967843","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/knife04.jpg","img/object_images/chair05.jpg","img/object_images/bell02.jpg","1","0","0","1","0","0","0.413286199967843","0.575920299976133","0.627610900031868","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/bell02.jpg","img/object_images/knife04.jpg","img/object_images/motorcycle01.jpg","0","1","1","0","1","1","0.627610900031868","0.413286199967843","0.443007899972145","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/motorcycle01.jpg","img/object_images/bell02.jpg","img/object_images/ear_bud01.jpg","1","0","1","1","0","1","0.443007899972145","0.627610900031868","0.350740999972913","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/ear_bud01.jpg","img/object_images/motorcycle01.jpg","img/object_images/microscope01.jpg","1","1","1","1","1","0","0.350740999972913","0.443007899972145","0.389541300013661","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/microscope01.jpg","img/object_images/ear_bud01.jpg","img/object_images/note_book01.jpg","1","1","1","0","1","0","0.389541300013661","0.350740999972913","0.505787900008727","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/note_book01.jpg","img/object_images/microscope01.jpg","img/object_images/wire02.jpg","1","1","1","0","0","1","0.505787900008727","0.389541300013661","0.391978200001177","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/wire02.jpg","img/object_images/note_book01.jpg","img/object_images/hammer03.jpg","1","1","1","1","0","1","0.391978200001177","0.505787900008727","0.409625599975698","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/hammer03.jpg","img/object_images/wire02.jpg","img/object_images/Staples01.jpg","1","1","1","1","1","1","0.409625599975698","0.391978200001177","0.406916900014039","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/Staples01.jpg","img/object_images/hammer03.jpg","img/object_images/pitcher01.jpg","1","1","1","1","1","0","0.406916900014039","0.409625599975698","0.425659200001974","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/pitcher01.jpg","img/object_images/Staples01.jpg","img/object_images/lid01.jpg","1","1","1","0","1","1","0.425659200001974","0.406916900014039","0.346833699964918","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/lid01.jpg","img/object_images/pitcher01.jpg","img/object_images/tv02.jpg","1","1","1","1","0","0","0.346833699964918","0.425659200001974","0.581317599979229","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/tv02.jpg","img/object_images/lid01.jpg","img/object_images/Thermometer01.jpg","1","1","1","0","1","0","0.581317599979229","0.346833699964918","0.624672500009183","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/Thermometer01.jpg","img/object_images/tv02.jpg","img/object_images/book03.jpg","1","1","1","0","0","1","0.624672500009183","0.581317599979229","0.456158799992409","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/book03.jpg","img/object_images/Thermometer01.jpg","img/object_images/retainer01.jpg","1","1","1","1","0","0","0.456158799992409","0.624672500009183","0.536422100034542","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/retainer01.jpg","img/object_images/book03.jpg","img/object_images/knit05.jpg","1","1","1","0","1","1","0.536422100034542","0.456158799992409","0.641399700019974","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/knit05.jpg","img/object_images/retainer01.jpg","img/object_images/crutches02.jpg","1","1","1","1","0","0","0.641399700019974","0.536422100034542","0.450331299973186","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/crutches02.jpg","img/object_images/knit05.jpg","img/object_images/floppy_disk03.jpg","1","1","1","0","1","1","0.450331299973186","0.641399700019974","0.454438999993727","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/floppy_disk03.jpg","img/object_images/crutches02.jpg","img/object_images/pen03.jpg","1","1","0","1","0","0","0.454438999993727","0.450331299973186","0.441498000000138","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/pen03.jpg","img/object_images/floppy_disk03.jpg","img/object_images/cellphone01.jpg","0","1","1","0","1","1","0.441498000000138","0.454438999993727","0.407690900028683","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/cellphone01.jpg","img/object_images/pen03.jpg","img/object_images/clip03.jpg","1","0","1","1","0","0","0.407690900028683","0.441498000000138","0.417683200037572","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/clip03.jpg","img/object_images/cellphone01.jpg","img/object_images/bottle01.jpg","1","1","0","0","1","0","0.417683200037572","0.407690900028683","0.602184300019871","1","1","1","1","1","1","1","1","2"
"260037","img/object_images/bottle01.jpg","img/object_images/clip03.jpg","img/object_images/clock02.jpg","0","1","1","0","0","0","0.602184300019871","0.417683200037572","0.58064950001426","1","1","1","1","1","1","2","1","1"
"260037","img/object_images/clock02.jpg","img/object_images/bottle01.jpg","img/object_images/compass01.jpg","1","0","1","0","0","1","0.58064950001426","0.602184300019871","0.445942799968179","1","1","1","1","1","1","1","2","1"
"260037","img/object_images/compass01.jpg","img/object_images/clock02.jpg","img/object_images/floppy_disk02.jpg","1","1","1","1","0","0","0.445942799968179","0.58064950001426","0.496306799992453","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/floppy_disk02.jpg","img/object_images/compass01.jpg","img/object_images/paint_brush04.jpg","1","1","1","0","1","0","0.496306799992453","0.445942799968179","0.458156699954998","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/paint_brush04.jpg","img/object_images/floppy_disk02.jpg","img/object_images/usb02.jpg","1","1","1","0","0","0","0.458156699954998","0.496306799992453","0.586842799966689","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/usb02.jpg","img/object_images/paint_brush04.jpg","img/object_images/Oven01.jpg","1","1","1","0","0","1","0.586842799966689","0.458156699954998","0.448013400018681","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/Oven01.jpg","img/object_images/usb02.jpg","img/object_images/tennis_racket02.jpg","1","1","1","1","0","1","0.448013400018681","0.586842799966689","0.408771299989894","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/tennis_racket02.jpg","img/object_images/Oven01.jpg","img/object_images/chess_piece02.jpg","1","1","1","1","1","1","0.408771299989894","0.448013400018681","0.391198900004383","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/chess_piece02.jpg","img/object_images/tennis_racket02.jpg",NA,"1","1",NA,"1","1",NA,"0.391198900004383","0.408771299989894",NA,"1","1",NA,"1","1",NA,"1","1",NA
"260037","img/object_images/frame01.jpg",NA,"img/object_images/Safe01.jpg","1",NA,"1","1",NA,"1","0.459014599968214",NA,"0.422095799993258","1",NA,"1","1",NA,"1","1",NA,"1"
"260037","img/object_images/Safe01.jpg","img/object_images/frame01.jpg","img/object_images/pitcher07.jpg","1","1","1","1","1","1","0.422095799993258","0.459014599968214","0.411370599991642","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/pitcher07.jpg","img/object_images/Safe01.jpg","img/object_images/headset02.jpg","1","1","1","1","1","0","0.411370599991642","0.422095799993258","0.471758100029547","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/headset02.jpg","img/object_images/pitcher07.jpg","img/object_images/ToolBag01.jpg","1","1","1","0","1","0","0.471758100029547","0.411370599991642","0.460772699967492","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/ToolBag01.jpg","img/object_images/headset02.jpg","img/object_images/scale02.jpg","1","1","1","0","0","0","0.460772699967492","0.471758100029547","0.45330999995349","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/scale02.jpg","img/object_images/ToolBag01.jpg","img/object_images/lock03.jpg","1","1","1","0","0","1","0.45330999995349","0.460772699967492","0.413411999994423","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/lock03.jpg","img/object_images/scale02.jpg","img/object_images/jewel02.jpg","1","1","1","1","0","0","0.413411999994423","0.45330999995349","0.595423399994615","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/jewel02.jpg","img/object_images/lock03.jpg","img/object_images/Eyeliner01.jpg","1","1","1","0","1","1","0.595423399994615","0.413411999994423","0.364717400050722","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/Eyeliner01.jpg","img/object_images/jewel02.jpg","img/object_images/note_book02.jpg","1","1","1","1","0","0","0.364717400050722","0.595423399994615","0.537910100014415","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/note_book02.jpg","img/object_images/Eyeliner01.jpg","img/object_images/bucket01.jpg","1","1","1","0","1","1","0.537910100014415","0.364717400050722","0.482400499982759","1","1","1","1","1","1","1","1","1"
"260037","img/object_images/bucket01.jpg","img/object_images/note_book02.jpg","img/object_images/nut_cracker01.jpg","1","1","1","1","0","1","0.482400499982759","0.537910100014415","0.45865040004719","1","1","1","1","1","1","1","1","1"
