"participant_id","current_trial_object","pre_trial_object","post_trial_object","current_trial_accuracy","pre_trial_accuracy","post_trial_accuracy","current_trial_congruency","pre_trial_congruency","post_trial_congruency","current_trial_rt","pre_trial_rt","post_trial_rt","current_trial_responded","pre_trial_responded","post_trial_responded","current_trial_legitResponse","pre_trial_legitResponse","post_trial_legitResponse","current_trial_resp_nums","pre_trial_resp_nums","post_trial_resp_nums"
"260005","img/object_images/purse01.jpg",NA,"img/object_images/hole_puncher01.jpg","0",NA,"1","1",NA,"1",NA,NA,"0.530289400136098","0",NA,"1","0",NA,"1","0",NA,"1"
"260005","img/object_images/hole_puncher01.jpg","img/object_images/purse01.jpg","img/object_images/hair_clips01.jpg","1","0","1","1","1","1","0.530289400136098",NA,"0.459442000137642","1","0","1","1","0","1","1","0","1"
"260005","img/object_images/hair_clips01.jpg","img/object_images/hole_puncher01.jpg","img/object_images/pan01.jpg","1","1","0","1","1","1","0.459442000137642","0.530289400136098","0.460391800152138","1","1","1","1","1","1","1","1","2"
"260005","img/object_images/pan01.jpg","img/object_images/hair_clips01.jpg","img/object_images/yo_yo01.jpg","0","1","1","1","1","0","0.460391800152138","0.459442000137642","0.79598019993864","1","1","1","1","1","1","2","1","1"
"260005","img/object_images/yo_yo01.jpg","img/object_images/pan01.jpg","img/object_images/fire_extinguisher01.jpg","1","0","1","0","1","0","0.79598019993864","0.460391800152138","0.522531000198796","1","1","1","1","1","1","1","2","1"
"260005","img/object_images/fire_extinguisher01.jpg","img/object_images/yo_yo01.jpg","img/object_images/exfoliater_brush01.jpg","1","1","1","0","0","0","0.522531000198796","0.79598019993864","0.458629400236532","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/exfoliater_brush01.jpg","img/object_images/fire_extinguisher01.jpg","img/object_images/Kitchen_Towel.jpg","1","1","1","0","0","0","0.458629400236532","0.522531000198796","0.443202100228518","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/Kitchen_Towel.jpg","img/object_images/exfoliater_brush01.jpg","img/object_images/speaker01.jpg","1","1","1","0","0","1","0.443202100228518","0.458629400236532","0.598596400115639","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/speaker01.jpg","img/object_images/Kitchen_Towel.jpg","img/object_images/cup03.jpg","1","1","1","1","0","1","0.598596400115639","0.443202100228518","0.537147599970922","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/cup03.jpg","img/object_images/speaker01.jpg","img/object_images/tool08.jpg","1","1","1","1","1","0","0.537147599970922","0.598596400115639","0.566842700121924","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/tool08.jpg","img/object_images/cup03.jpg","img/object_images/glasses07.jpg","1","1","1","0","1","1","0.566842700121924","0.537147599970922","0.563301000278443","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/glasses07.jpg","img/object_images/tool08.jpg","img/object_images/tray01.jpg","1","1","1","1","0","1","0.563301000278443","0.566842700121924","0.48136300011538","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/tray01.jpg","img/object_images/glasses07.jpg","img/object_images/Sprayer01.jpg","1","1","1","1","1","0","0.48136300011538","0.563301000278443","0.46435260004364","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/Sprayer01.jpg","img/object_images/tray01.jpg","img/object_images/cellphone02.jpg","1","1","1","0","1","1","0.46435260004364","0.48136300011538","0.556612899992615","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/cellphone02.jpg","img/object_images/Sprayer01.jpg","img/object_images/blanket01.jpg","1","1","1","1","0","1","0.556612899992615","0.46435260004364","0.551671700086445","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/blanket01.jpg","img/object_images/cellphone02.jpg","img/object_images/ring03.jpg","1","1","1","1","1","1","0.551671700086445","0.556612899992615","0.498606600100175","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/ring03.jpg","img/object_images/blanket01.jpg","img/object_images/TrashCan02.jpg","1","1","1","1","1","1","0.498606600100175","0.551671700086445","0.523880200227723","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/TrashCan02.jpg","img/object_images/ring03.jpg","img/object_images/projector01.jpg","1","1","1","1","1","0","0.523880200227723","0.498606600100175","0.541593100177124","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/projector01.jpg","img/object_images/TrashCan02.jpg","img/object_images/tool07.jpg","1","1","1","0","1","0","0.541593100177124","0.523880200227723","0.5915475001093","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/tool07.jpg","img/object_images/projector01.jpg","img/object_images/Traffic Sign 01.jpg","1","1","1","0","0","0","0.5915475001093","0.541593100177124","0.711807100102305","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/Traffic Sign 01.jpg","img/object_images/tool07.jpg","img/object_images/basket02.jpg","1","1","1","0","0","0","0.711807100102305","0.5915475001093","0.528965899953619","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/basket02.jpg","img/object_images/Traffic Sign 01.jpg","img/object_images/handcuffs01.jpg","1","1","1","0","0","0","0.528965899953619","0.711807100102305","0.544544400181621","1","1","1","1","1","1","1","1","1"
"260005","img/object_images/handcuffs01.jpg","img/object_images/basket02.jpg","img/object_images/colander01.jpg","1","1","1","0","0","0","0.544544400181621","0.528965899953619","0.735483000054955","1","1","1","1","1","1","1","1","1"
