"participant_id","object","surpAcc","memory_surp_responses","memory_surp_rt","keep_surp_memory_trial_based_on_rt","surp_block_num","exclude_block","number_of_surp_resp_items_used","num_blocks_excluded"
"260063","img/object_images/knife01.jpg","1","k","3.64930679999816",1,1,0,2,0
"260063","img/object_images/fan01.jpg","1","s","1.51945490000071",1,1,0,2,0
"260063","img/object_images/vase01.jpg","1","s","0.996753599996737",1,1,0,2,0
"260063","img/object_images/purse04.jpg","0","s","2.01882730000216",1,1,0,2,0
"260063","img/object_images/MetalWire01.jpg","1","k","1.24043090000487",1,1,0,2,0
"260063","img/object_images/book03.jpg","0","s","1.79747530000168",1,1,0,2,0
"260063","img/object_images/WoodBox01.jpg","1","s","0.690492499998072",1,1,0,2,0
"260063","img/object_images/bow_tie01.jpg","1","s","0.890370699999039",1,1,0,2,0
"260063","img/object_images/Lint_Roller02.jpg","0","k","3.46817329999612",1,1,0,2,0
"260063","img/object_images/Thermometer01.jpg","1","s","0.713663499998802",1,1,0,2,0
"260063","img/object_images/scarf01.jpg","1","k","0.999901600000158",1,1,0,2,0
"260063","img/object_images/knit05.jpg","1","s","2.29771699999401",1,1,0,2,0
"260063","img/object_images/pen03.jpg","0","s","3.19904619999579",1,1,0,2,0
"260063","img/object_images/clip02.jpg","1","k","3.24741769999673",1,1,0,2,0
"260063","img/object_images/knife02.jpg","1","s","1.80421170000045",1,1,0,2,0
"260063","img/object_images/perfume02.jpg","1","k","3.70023059999949",1,1,0,2,0
"260063","img/object_images/cellphone03.jpg","0","s","1.17483259999426",1,1,0,2,0
"260063","img/object_images/ornament01.jpg","1","s","1.18357039999682",1,1,0,2,0
"260063","img/object_images/pot01.jpg","1","s","0.952776500002074",1,1,0,2,0
"260063","img/object_images/matches02.jpg","1","s","4.39678999999887",1,1,0,2,0
"260063","img/object_images/shower_head01.jpg","1","s","1.70589920000202",1,1,0,2,0
"260063","img/object_images/ruler02.jpg","1","k","1.20102319999569",1,1,0,2,0
"260063","img/object_images/bow_tie03.jpg","1","k","1.43655529999523",1,1,0,2,0
"260063","img/object_images/video_game02.jpg","1","s","0.678979199998139",1,1,0,2,0
"260063","img/object_images/jewel04.jpg","1","k","3.17047569999704",1,1,0,2,0
"260063","img/object_images/toaster01.jpg","1","k","1.76289330000145",1,1,0,2,0
"260063","img/object_images/mask01.jpg","1","k","1.49068739999348",1,1,0,2,0
"260063","img/object_images/ToolBag01.jpg","1","k","2.30044829999679",1,1,0,2,0
"260063","img/object_images/flashlight03.jpg","1","s","1.7249443000037",1,1,0,2,0
"260063","img/object_images/brief_case02.jpg","1","k","4.02071289999731",1,1,0,2,0
"260063","img/object_images/pitcher02.jpg","1","s","0.678605200002494",1,1,0,2,0
"260063","img/object_images/Vest02.jpg","1","k","2.16243319999921",1,1,0,2,0
"260063","img/object_images/crown02.jpg","0","s","1.06895419999637",1,1,0,2,0
"260063","img/object_images/bottle05.jpg","1","s","6.77442390000215",1,1,0,2,0
"260063","img/object_images/microphone03.jpg","1","k","0.93990379999741",1,1,0,2,0
"260063","img/object_images/guitar02.jpg","1","s","1.54332550000254",1,1,0,2,0
"260063","img/object_images/broom01.jpg","0","s","1.85744559999875",1,1,0,2,0
"260063","img/object_images/key02.jpg","1","k","2.26074499999959",1,1,0,2,0
"260063","img/object_images/knife04.jpg","0","k","2.80363329999818",1,1,0,2,0
"260063","img/object_images/hair_brush02.jpg","1","k","2.02754519999871",1,1,0,2,0
"260063","img/object_images/razor01.jpg","1","k","1.38335279999592",1,1,0,2,0
"260063","img/object_images/bird_house02.jpg","1","k","1.41422590000002",1,1,0,2,0
"260063","img/object_images/Traffic Sign 01.jpg","1","s","0.648451699998986",1,1,0,2,0
"260063","img/object_images/tv01.jpg","0","k","1.34994839999854",1,1,0,2,0
"260063","img/object_images/accardion01.jpg","0","k","1.62559619999956",1,1,0,2,0
"260063","img/object_images/sink01.jpg","1","k","3.60155159999704",1,1,0,2,0
