whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightObj,imageSize,whichSurpriseBlock,old_object_in_surp,new_object_in_surp,which_side_old_object_displayed,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigObject.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigObject.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,accuracy,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigObject_2.started,cover_background.started,task_centerImg.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.stopped,cover_background.stopped,bigObject_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNumbers_text_2.started,errorNum_text_box.started,errorN_key_resp_2.started,errorNum_text_box.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorNumbers_text_3.started,errorPercent_text_box.started,errorN_key_resp_3.started,errorPercent_text_box.text,errorN_key_resp_3.keys,errorN_key_resp_3.rt,botherRate_text.started,bother_text_box.started,botherRate_key_resp.started,bother_text_box.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,text_2.started,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,thisISI3,polygon.started,polygon.stopped,text.started,old_object_image.started,new_object_image.started,instructsurpA1_right.started,instructsurpA2_left.started,surprise_key_resp.started,surprise_key_resp.keys,surprise_key_resp.rt,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,id,date,expName,psychopyVersion,frameRate,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/headset03.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,3.9128256513026054,303.41435070000443,303.41435070000443,303.41435070000443,303.41435070000443,303.6287705000068,303.778971300002,307.46675870000036,307.46675870000036,['s'],[0.35137110000505345],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/hair_brush03.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,3.9278557114228456,307.46675870000036,307.46675870000036,307.46675870000036,307.46675870000036,307.66605710000294,307.8160902000018,311.54507210000156,311.54507210000156,['s'],[0.6347649000017554],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/Typewritter01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,3.765531062124248,311.54507210000156,311.54507210000156,311.54507210000156,311.54507210000156,311.7537943000061,311.9037043000062,315.47481710000284,315.47481710000284,['s'],[0.6927353999999468],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/car_toy05.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,13,13,3,,,,,,,,,,,,,,,,,,,,,,,3.934869739478958,315.47481710000284,315.47481710000284,315.47481710000284,315.47481710000284,315.6741087000046,315.8241279000067,319.54421490000095,319.54421490000095,['s'],[0.547135699998762],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/binoculars01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,14,14,1,,,,,,,,,,,,,,,,,,,,,,,3.712424849699399,319.54421490000095,319.54421490000095,319.54421490000095,319.54421490000095,319.7449205000012,319.8948204000044,323.39837900000566,323.39837900000566,['s'],[0.558174700003292],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/skate_board02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,15,15,9,,,,,,,,,,,,,,,,,,,,,,,3.5891783567134268,323.39837900000566,323.39837900000566,323.39837900000566,323.39837900000566,323.5986980000016,323.74872080000205,327.14480280000134,327.14480280000134,['s'],[0.5116302000024007],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/rock04.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,3.7615230460921842,327.14480280000134,327.14480280000134,327.14480280000134,327.14480280000134,327.35277370000404,327.5025492000059,331.0403923000049,331.0403923000049,['s'],[0.6525524000026053],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/trumpet02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,17,17,10,,,,,,,,,,,,,,,,,,,,,,,3.5751503006012024,331.0403923000049,331.0403923000049,331.0403923000049,331.0403923000049,331.2395492000069,331.3898890000055,334.7804005000071,334.7804005000071,['s'],[0.49390690000291215],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/crane02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,18,18,17,,,,,,,,,,,,,,,,,,,,,,,3.567134268537074,334.7804005000071,334.7804005000071,334.7804005000071,334.7804005000071,334.9933442000038,335.14336000000185,338.4981656000018,338.4981656000018,['s'],[0.5864836999971885],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/usb01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,3.932865731462926,338.4981656000018,338.4981656000018,338.4981656000018,338.4981656000018,338.7139296000023,338.84685680000257,342.4327589000022,342.4327589000022,['s'],[0.6752912000010838],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260020,2024-03-21_12h55.32.531,mfe_c_object,2022.2.4,59.92419589225823,
