whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightObj,imageSize,whichSurpriseBlock,old_object_in_surp,new_object_in_surp,which_side_old_object_displayed,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigObject.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigObject.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigObject_2.started,cover_background.started,task_centerImg.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.stopped,cover_background.stopped,bigObject_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNumbers_text_2.started,errorNum_text_box.started,errorN_key_resp_2.started,errorNum_text_box.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorNumbers_text_3.started,errorPercent_text_box.started,errorN_key_resp_3.started,errorPercent_text_box.text,errorN_key_resp_3.keys,errorN_key_resp_3.rt,botherRate_text.started,bother_text_box.started,botherRate_key_resp.started,bother_text_box.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,text_2.started,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,thisISI3,polygon.started,polygon.stopped,text.started,old_object_image.started,new_object_image.started,instructsurpA1_right.started,instructsurpA2_left.started,surprise_key_resp.started,surprise_key_resp.keys,surprise_key_resp.rt,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,id,date,expName,psychopyVersion,frameRate,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/skate_board02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,0,0,9,,,,,,,,,,,,,,,,,152.29361479985528,152.29361479985528,152.29361479985528,k,36.08865220006555,188.42351230001077,3.729458917835671,190.65260589984246,190.65260589984246,190.65260589984246,190.65260589984246,190.86330910003744,191.013156699948,194.5266950998921,194.5266950998921,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/crane02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,3.5811623246492985,194.5266950998921,194.5266950998921,194.5266950998921,194.5266950998921,194.73375899996608,194.88376270001754,198.27787270001136,198.27787270001136,['k'],1,[0.0796701000072062],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/hot_air_balloon01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,3.5430861723446894,198.27787270001136,198.27787270001136,198.27787270001136,198.27787270001136,198.4874249000568,198.63750119996257,201.96277169999667,201.96277169999667,['s'],0,[1.4883367998991162],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/usb_drive01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,3,3,19,,,,,,,,,,,,,,,,,,,,,,,3.823647294589178,201.96277169999667,201.96277169999667,201.96277169999667,201.96277169999667,202.17446889984421,202.32451639999636,205.94276620005257,205.94276620005257,['s'],0,[1.747551100095734],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/spoon01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,3.769539078156313,205.94276620005257,205.94276620005257,205.94276620005257,205.94276620005257,206.14519959990866,206.29498260002583,209.86643269984052,209.86643269984052,['k'],0,[1.4879589001648128],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/rock04.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,5,5,16,,,,,,,,,,,,,,,,,,,,,,,3.9939879759519035,209.86643269984052,209.86643269984052,209.86643269984052,209.86643269984052,210.06605320004746,210.21587689989246,214.01615369995125,214.01615369995125,['s'],0,[0.9719187002629042],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/car_toy05.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,3.506012024048096,214.01615369995125,214.01615369995125,214.01615369995125,214.01615369995125,214.21999730006792,214.3699705998879,217.6650928000454,217.6650928000454,['s'],1,[1.6538911000825465],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/vacuum_cleaner01.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,3.749498997995992,217.6650928000454,217.6650928000454,217.6650928000454,217.6650928000454,217.87360709998757,218.02351940004155,221.57094409991987,221.57094409991987,['s'],1,[1.5642360001802444],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/headset03.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,8,8,11,,,,,,,,,,,,,,,,,,,,,,,3.7765531062124245,221.57094409991987,221.57094409991987,221.57094409991987,221.57094409991987,221.7776225998532,221.92742559988983,225.4993348000571,225.4993348000571,['k'],1,[1.050791600253433],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
flanker_practice_block.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/object_images/accordion02.jpg,"[0.035, 0.035]",,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,3.823647294589178,225.4993348000571,225.4993348000571,225.4993348000571,225.4993348000571,225.69804989988916,225.84823739994317,229.48176719993353,229.48176719993353,['s'],0,[1.0984899001196027],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260001,2024-03-05_12h24.38.253,mfe_c_object,2022.2.4,59.9485880623067,
