whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightObj,imageSize,whichSurpriseBlock,old_object_in_surp,new_object_in_surp,which_side_old_object_displayed,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigObject.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigObject.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigObject_2.started,cover_background.started,task_centerImg.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.stopped,cover_background.stopped,bigObject_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNumbers_text_2.started,errorNum_text_box.started,errorN_key_resp_2.started,errorNum_text_box.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorNumbers_text_3.started,errorPercent_text_box.started,errorN_key_resp_3.started,errorPercent_text_box.text,errorN_key_resp_3.keys,errorN_key_resp_3.rt,botherRate_text.started,bother_text_box.started,botherRate_key_resp.started,bother_text_box.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,text_2.started,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,thisISI3,polygon.started,polygon.stopped,text.started,old_object_image.started,new_object_image.started,instructsurpA1_right.started,instructsurpA2_left.started,surprise_key_resp.started,surprise_key_resp.keys,surprise_key_resp.rt,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,id,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,surp_table4.csv,img/object_images/Trowel01.jpg,img/object_images/drum02.jpg,left,,,,,,,,,,,,,,,,,0,3,3,3,0,42,42,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8932330827067669,3104.4636115999892,3105.501174999983,3099.5186543000164,3099.5186543000164,3099.5186543000164,3099.5186543000164,3099.5186543000164,3099.5186543000164,k,4.915333800017834,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,img/object_images/jewel02.jpg,img/object_images/shoes13.jpg,left,,,,,,,,,,,,,,,,,0,3,3,3,0,43,43,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8150375939849624,3106.765879499959,3107.7250984000275,3105.501174999983,3105.501174999983,3105.501174999983,3105.501174999983,3105.501174999983,3105.501174999983,k,1.2457773999776691,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,img/object_images/lighter01.jpg,img/object_images/brief_case03.jpg,right,,,,,,,,,,,,,,,,,0,3,3,3,0,44,44,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9583959899749372,3108.8178826000076,3109.91965549998,3107.7250984000275,3107.7250984000275,3107.7250984000275,3107.7250984000275,3107.7250984000275,3107.7250984000275,k,1.0766782000428066,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,img/object_images/brief_case01.jpg,img/object_images/headset01.jpg,left,,,,,,,,,,,,,,,,,0,3,3,3,0,45,45,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1829573934837092,3111.5706948000006,3112.9050283000106,3109.91965549998,3109.91965549998,3109.91965549998,3109.91965549998,3109.91965549998,3109.91965549998,s,1.626689700060524,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,img/object_images/Statue01.jpg,img/object_images/binoculars02.jpg,left,,,,,,,,,,,,,,,,,0,3,3,3,0,46,46,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.025563909774436,3114.3900620000204,3115.568507799995,3112.9050283000106,3112.9050283000106,3112.9050283000106,3112.9050283000106,3112.9050283000106,3112.9050283000106,s,1.4654430999653414,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,img/object_images/usb03.jpg,img/object_images/camera06.jpg,right,,,,,,,,,,,,,,,,,0,3,3,3,0,47,47,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8842105263157894,3117.42634060001,3118.3109677999746,3115.568507799995,3115.568507799995,3115.568507799995,3115.568507799995,3115.568507799995,3115.568507799995,k,1.8414364999625832,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table4.csv,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table5.csv,img/object_images/video_game01.jpg,img/object_images/dresser02.jpg,left,,,,,,,,,,,,,,,,,0,4,4,4,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3118.3109677999746,3118.3109677999746,3118.3109677999746,k,0.9394981999648735,1.1007518796992481,3122.06432200002,3123.315154299955,3120.580296,3120.580296,3120.580296,3120.580296,3120.580296,3120.580296,s,1.4621846999507397,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table5.csv,img/object_images/pitcher03.jpg,img/object_images/gumball_machine01.jpg,right,,,,,,,,,,,,,,,,,0,4,4,4,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8401002506265665,3125.8682793999324,3126.8574955000076,3123.315154299955,3123.315154299955,3123.315154299955,3123.315154299955,3123.315154299955,3123.315154299955,k,2.527499500080012,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
,,,,,,,,,,,,surp_table5.csv,img/object_images/fan05.jpg,img/object_images/tool12.jpg,right,,,,,,,,,,,,,,,,,0,4,4,4,0,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8320802005012531,3128.3875058999984,3129.4173088999232,3126.8574955000076,3126.8574955000076,3126.8574955000076,3126.8574955000076,3126.8574955000076,3126.8574955000076,k,1.5053255000384524,,,,,,260023,2024-03-28_12h16.08.729,mfe_c_object,2022.2.4,59.92681734361771,
