"participant_id","current_trial_face","pre_trial_face","post_trial_face","current_trial_accuracy","pre_trial_accuracy","post_trial_accuracy","current_trial_congruency","pre_trial_congruency","post_trial_congruency","current_trial_rt","pre_trial_rt","post_trial_rt","current_trial_responded","pre_trial_responded","post_trial_responded","current_trial_legitResponse","pre_trial_legitResponse","post_trial_legitResponse","current_trial_resp_nums","pre_trial_resp_nums","post_trial_resp_nums"
"250011","img/neutralC/CFD-LF-210-220-N.jpg","img/neutralC/CFD-BM-213-134-N.jpg","img/neutralC/CFD-LF-241-188-N.jpg","1","0","1","1","1","0","0.573621300000468","0.54313540000021","0.591092099999969","1","1","1","1","1","1","1","2","1"
"250011","img/neutralC/CFD-LF-241-188-N.jpg","img/neutralC/CFD-LF-210-220-N.jpg","img/neutralC/CFD-BM-010-003-N.jpg","1","1","1","0","1","0","0.591092099999969","0.573621300000468","0.533808399999998","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BM-010-003-N.jpg","img/neutralC/CFD-LF-241-188-N.jpg","img/neutralC/CFD-IF-625-225-N.jpg","1","1","1","0","0","0","0.533808399999998","0.591092099999969","0.479582700000265","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-IF-625-225-N.jpg","img/neutralC/CFD-BM-010-003-N.jpg","img/neutralC/CFD-BF-045-003-N.jpg","1","1","1","0","0","0","0.479582700000265","0.533808399999998","0.564455100000032","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BF-045-003-N.jpg","img/neutralC/CFD-IF-625-225-N.jpg","img/neutralC/CFD-WM-202-107-N.jpg","1","1","1","0","0","1","0.564455100000032","0.479582700000265","0.534138600000006","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WM-202-107-N.jpg","img/neutralC/CFD-BF-045-003-N.jpg","img/neutralC/CFD-BF-222-240-N.jpg","1","1","1","1","0","0","0.534138600000006","0.564455100000032","0.567497500000172","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BF-222-240-N.jpg","img/neutralC/CFD-WM-202-107-N.jpg","img/neutralC/CFD-AF-210-050-N.jpg","1","1","1","0","1","1","0.567497500000172","0.534138600000006","0.577997200000027","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-AF-210-050-N.jpg","img/neutralC/CFD-BF-222-240-N.jpg","img/neutralC/CFD-LM-247-095-N.jpg","1","1","1","1","0","0","0.577997200000027","0.567497500000172","0.52356090000012","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-LM-247-095-N.jpg","img/neutralC/CFD-AF-210-050-N.jpg","img/neutralC/CFD-WM-254-152-N.jpg","1","1","1","0","1","1","0.52356090000012","0.577997200000027","0.518777900000259","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WM-254-152-N.jpg","img/neutralC/CFD-LM-247-095-N.jpg",NA,"1","1",NA,"1","0",NA,"0.518777900000259","0.52356090000012",NA,"1","1",NA,"1","1",NA,"1","1",NA
"250011","img/neutralC/CFD-BF-214-308-N.jpg",NA,"img/neutralC/CFD-WF-234-086-N.jpg","1",NA,"1","1",NA,"1","1.56952120000005",NA,"0.531390700000429","1",NA,"1","1",NA,"1","1",NA,"1"
"250011","img/neutralC/CFD-WF-234-086-N.jpg","img/neutralC/CFD-BF-214-308-N.jpg","img/neutralC/CFD-IF-677-452-1-N.jpg","1","1","0","1","1","1","0.531390700000429","1.56952120000005","0.549361800000042","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-IF-677-452-1-N.jpg","img/neutralC/CFD-WF-234-086-N.jpg","img/neutralC/CFD-BF-247-179-N.jpg","0","1","1","1","1","0","0.549361800000042","0.531390700000429","0.604753000000073","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BF-247-179-N.jpg","img/neutralC/CFD-IF-677-452-1-N.jpg","img/neutralC/CFD-WF-233-112-N.jpg","1","0","1","0","1","1","0.604753000000073","0.549361800000042","0.578192699999818","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WF-233-112-N.jpg","img/neutralC/CFD-BF-247-179-N.jpg","img/neutralC/CFD-IM-696-001-N.jpg","1","1","1","1","0","0","0.578192699999818","0.604753000000073","0.518735300000117","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-IM-696-001-N.jpg","img/neutralC/CFD-WF-233-112-N.jpg","img/neutralC/CFD-IF-729-393-N.jpg","1","1","1","0","1","0","0.518735300000117","0.578192699999818","0.600684900000033","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-IF-729-393-N.jpg","img/neutralC/CFD-IM-696-001-N.jpg","img/neutralC/CFD-WF-208-068-N.jpg","1","1","1","0","0","1","0.600684900000033","0.518735300000117","0.591683600000124","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WF-208-068-N.jpg","img/neutralC/CFD-IF-729-393-N.jpg","img/neutralC/CFD-AM-230-150-N.jpg","1","1","1","1","0","0","0.591683600000124","0.600684900000033","0.55649910000011","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-AM-230-150-N.jpg","img/neutralC/CFD-WF-208-068-N.jpg","img/neutralC/CFD-BF-044-034-N.jpg","1","1","1","0","1","0","0.55649910000011","0.591683600000124","0.493025700000089","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BF-044-034-N.jpg","img/neutralC/CFD-AM-230-150-N.jpg","img/neutralC/CFD-LM-213-061-N.jpg","1","1","1","0","0","0","0.493025700000089","0.55649910000011","0.594682099999773","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-LM-213-061-N.jpg","img/neutralC/CFD-BF-044-034-N.jpg","img/neutralC/CFD-IM-721-341-N.jpg","1","1","1","0","0","1","0.594682099999773","0.493025700000089","0.518536100000347","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-IM-721-341-N.jpg","img/neutralC/CFD-LM-213-061-N.jpg","img/neutralC/CFD-BF-036-027-N.jpg","1","1","1","1","0","0","0.518536100000347","0.594682099999773","0.571028600000318","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-BF-036-027-N.jpg","img/neutralC/CFD-IM-721-341-N.jpg","img/neutralC/CFD-WM-034-030-N.jpg","1","1","1","0","1","1","0.571028600000318","0.518536100000347","0.515302500000416","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WM-034-030-N.jpg","img/neutralC/CFD-BF-036-027-N.jpg","img/neutralC/CFD-WM-014-002-N.jpg","1","1","1","1","0","0","0.515302500000416","0.571028600000318","0.5212932000004","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-WM-014-002-N.jpg","img/neutralC/CFD-WM-034-030-N.jpg","img/neutralC/CFD-LF-204-133-N.jpg","1","1","1","0","1","1","0.5212932000004","0.515302500000416","0.442418300000554","1","1","1","1","1","1","1","1","1"
"250011","img/neutralC/CFD-LF-204-133-N.jpg","img/neutralC/CFD-WM-014-002-N.jpg","img/neutralC/CFD-BF-027-002-N.jpg","1","1","1","1","0","1","0.442418300000554","0.5212932000004","0.379874900000232","1","1","1","1","1","1","1","1","1"
