"participant_id","current_trial_face","pre_trial_face","post_trial_face","current_trial_accuracy","pre_trial_accuracy","post_trial_accuracy","current_trial_congruency","pre_trial_congruency","post_trial_congruency","current_trial_rt","pre_trial_rt","post_trial_rt","current_trial_responded","pre_trial_responded","post_trial_responded","current_trial_legitResponse","pre_trial_legitResponse","post_trial_legitResponse","current_trial_resp_nums","pre_trial_resp_nums","post_trial_resp_nums"
"250046","img/neutralC/CFD-WM-019-003-N.jpg",NA,"img/neutralC/CFD-IM-646-023-N.jpg","1",NA,"1","1",NA,"1","0.851661499822512",NA,"0.74186829989776","1",NA,"1","1",NA,"1","1",NA,"1"
"250046","img/neutralC/CFD-IM-646-023-N.jpg","img/neutralC/CFD-WM-019-003-N.jpg","img/neutralC/CFD-WF-240-083-N.jpg","1","1","1","1","1","0","0.74186829989776","0.851661499822512","0.923457199940458","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-WF-240-083-N.jpg","img/neutralC/CFD-IM-646-023-N.jpg","img/neutralC/CFD-WM-215-041-N.jpg","1","1","1","0","1","0","0.923457199940458","0.74186829989776","0.79448250005953","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-WM-215-041-N.jpg","img/neutralC/CFD-WF-240-083-N.jpg","img/neutralC/CFD-LM-243-075-N.jpg","1","1","1","0","0","0","0.79448250005953","0.923457199940458","0.907811499899253","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-LM-243-075-N.jpg","img/neutralC/CFD-WM-215-041-N.jpg","img/neutralC/CFD-BF-025-002-N.jpg","1","1","1","0","0","0","0.907811499899253","0.79448250005953","0.924066199921072","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-BF-025-002-N.jpg","img/neutralC/CFD-LM-243-075-N.jpg","img/neutralC/CFD-BF-041-001-N.jpg","1","1","1","0","0","1","0.924066199921072","0.907811499899253","0.777555899927393","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-BF-041-001-N.jpg","img/neutralC/CFD-BF-025-002-N.jpg","img/neutralC/CFD-MF-335-002-N.jpg","1","1","1","1","0","0","0.777555899927393","0.924066199921072","0.946291000116616","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-MF-335-002-N.jpg","img/neutralC/CFD-BF-041-001-N.jpg","img/neutralC/CFD-LM-216-082-N.jpg","1","1","1","0","1","0","0.946291000116616","0.777555899927393","0.839843800058588","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-LM-216-082-N.jpg","img/neutralC/CFD-MF-335-002-N.jpg","img/neutralC/CFD-WM-012-001-N.jpg","1","1","1","0","0","1","0.839843800058588","0.946291000116616","0.937603399856016","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-WM-012-001-N.jpg","img/neutralC/CFD-LM-216-082-N.jpg","img/neutralC/CFD-WM-249-239-N.jpg","1","1","1","1","0","1","0.937603399856016","0.839843800058588","1.3058712000493","1","1","1","1","1","1","1","1","1"
"250046","img/neutralC/CFD-WM-249-239-N.jpg","img/neutralC/CFD-WM-012-001-N.jpg","img/neutralC/CFD-IM-648-337-N.jpg","1","1","1","1","1","0","1.3058712000493","0.937603399856016","0.895680800080299","1","1","1","1","1","1","1","1","1"
